prompt,beam,nucleus,bert_pref,margin
"Once upon a time, there was a little robot who wanted to learn about feelings.","One day, the robot decided to go on an adventure. He asked his mom if he could go on an adventure. His mom said yes, and they set off on a journey.

When they arrived at the robot's house, the robot was very excited. He asked his mom if he could go. His mom said yes, but he had to be careful.

When they arrived","So, he asked his friend for help. The robot said he could fix things.

The robot was very excited and said yes. He used the robot to fix things. He fixed the robot's robot's robot was very happy.

After a few days, the robot started working again. He fixed the robot's robot's work. The robot was so happy!

The robot",beam,0.4668
A young fox found a shiny key near the river.,"He was so excited that he decided to take it home with him.

When he got home, he put the key in his pocket and went home. He was so happy to have found the key. He put the key in his pocket and went home.

When he got home, he showed his mom the key. His mom was so proud of him for finding the key. She","The fox was very excited and wanted to open it, so he tried to open it. But it was too hard for him. He tried and tried, but the fox was too strong. He could not get it. He was sad and started to cry.

Just then, a wise old owl came by. He saw the fox and said, ""I need help. I will help you",nucleus,-0.3937
"In a small village, a boy discovered a door that only opened at midnight.","The boy was scared, but he knew he had to be brave. He decided to go back home and tell his parents about his adventure.Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she went to the park with her mom and dad. They saw a big tree with lots of leaves.","The little boy was so excited and wanted to be the king. He asked his dad, ""Can I go on a journey?""

His dad said, ""Yes, but be careful and don't go too far.""

The king looked around and saw a little boy. He asked, ""What's wrong?""

The king answered, ""My Majesty, he is here",nucleus,-1.3920
A turtle wished it could fly above the sea.,"But it was too late. The turtle had already flown away.

The turtle was sad. He wanted to help the turtle, so he asked the turtle if he could help. The turtle said yes.

The turtle was so happy. He thanked the turtle for helping him. From that day on, the turtle and the turtle became good friends.Once upon a time, there was a","He wished he had never been so excited. He wished he could fly like a bird.

But then he saw something he hadn't seen before. It was a big, shiny pearl! He was so happy! He swam up to the sky and saw the star. It was so beautiful and beautiful.

The bird flew down to the sky and saw the bright star. It flew",beam,0.8557
A curious mouse built a telescope to see the stars.,"The mouse was very happy and thanked the mouse for his help. From that day on, the mouse and the mouse became good friends and played together every day.Once upon a time, there was a little girl named Lily. She loved to play with her toys and run around outside. One day, Lily's mommy told her they were going on a trip to the beach. Lily was so excited","He was very happy to see them. They are amazed at how big the rocket was.

He showed them how to use the telescope to make things fly. He showed them how to use them. He showed them how to make shapes and pictures.

The astronaut showed them how to use the telescope. He showed them how to use the telescope to make the planets. He showed them how",beam,0.7624
Lila planted a seed that grew faster than anything she had ever seen.,"One day, she decided to plant some seeds in her garden. She watered them every day and waited for it to grow.

Soon, the plant grew bigger and bigger. It grew bigger and bigger and bigger. Lila was so happy and proud of her plant. She showed it to her mom and dad.

""Look, Lila, I have a plant!"" Lila said","The seed was very sad. She wanted to get it for her mommy.

""Mommy, can you help me grow?"" Lila asked.

""Of course, Lila. You can have a seed, but you have to be patient and listen to your mommy. And you have to grow and be patient,"" her mommy said.

Lila thought for",nucleus,-1.4794
A snowflake wondered what summer felt like.,"""Maybe it is a snowflake,"" Lily said.

""Maybe it is a snowflake,"" Ben said. ""Maybe it is a snowflake.""

They ran to the snowflake and tried to make it. But the snowflake was too big and too heavy.

""Maybe we can make a snowflake,"" Lily said. ""Maybe we can make a snow","She decided to go and see what was on the ground. She picked up a white blanket and wrapped it around her neck. She looked at the snowflake and smiled. She reached for the snowflake to wear.

""That's a wonderful snowflake,"" she said. ""It's so bright and it's so pretty.""

The snowflake smiled and hugged her. ""You're",nucleus,-0.5765
A tiny dragon sneezed and made sparks of fire.,"""Oh no, what happened?"" Lily asked.

""I'm sorry, sweetie. I didn't mean to hurt you,"" said Lily.

""I'm sorry, Lily. I didn't mean to hurt you. I just wanted to play with you. I didn't mean to hurt you. I just wanted to play with you.""

""I'm sorry","The dragon laughed and flew away.

The dragon flew away and the children and the dragon and flew around the land. Everyone was happy and the dragon was so happy. The dragon thanked the dragon and flew away. From that day on, the dragon knew that if you ever wanted to help it.Once upon a time, there was a little girl named Mia. She was three years old and",beam,2.3807
A lonely star looked down at Earth and wanted a friend.,"The star said, ""I wish I could fly like a star.""

The star said, ""I wish I could fly like a star.""

The star said, ""I wish I could fly like a star.""

The star said, ""I wish I could fly like you.""

The star smiled and said, ""I wish I could fly like you.""","So, the star asked the star to come and see it up close.

""Can we play with the star, mom?"" Tom asked.

""Yes, but be careful,"" said Mom. ""The star will come back soon. It will be a very special star!""

Tom was excited. He ran to the star and tried to catch it. He tried to catch it",beam,0.0253
A cloud wanted to paint pictures in the sky.,"She asked her mom, ""Can I paint a rainbow?"" Her mom said, ""Yes, you can paint the rainbow. But first, let's paint a rainbow.""

Lily was so happy. She said, ""Thank you, mom. I love painting."" Her mom smiled and said, ""You're welcome, Lily. I love painting.""Once upon a time, there was a","She asked her mom, ""Can I paint it?"" Her mom said, ""Yes, you can paint my brush. It is not nice. It is hard for your painting.""

Lily was sad. She said, ""But mom, I want to paint a new picture. It is very pretty. It is not a toy. It is a tool. It can paint a picture of",nucleus,-0.8750
